Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP
2006-09-05,21.5383384597,,9.18617626326,,18.9737197107,17.2502587214,42.954228232,298.960633676,23.6945742857,32.67,22.4796690399,32.8593736218,28.0895689387,34.21,,30.4180035079,17.2060125311,22.4768113223
2006-09-06,20.937966656,,8.99983105367,,18.822434238,17.1004115929,42.6831230231,282.914973007,23.0401603108,32.719,22.2875351165,31.8667141428,27.7076777065,33.22,,30.4586460016,17.0275991488,22.3834949177
2006-09-07,20.7674064844,,9.35581466096,,18.788815244,17.0897082265,43.1535702973,280.270083886,22.6570887158,31.5,21.6520152159,31.2101519676,27.6430499595,31.48,,30.2438213919,17.4453475562,22.3026207004
2006-09-08,20.9311442491,,9.31983075842,,18.8896722259,17.4464871039,43.7994385889,267.310127192,22.8246825386,31.81,21.8958775034,30.944400611,27.8604341994,33.49,,30.2902699562,17.7543073158,22.3399472623
2006-09-11,21.2108629304,,9.31726047967,,18.9863268335,17.3537245958,44.0625701151,249.76569602,22.6491080575,31.84,22.5166178713,29.9595573483,27.8956856977,33.54,,30.4354217194,18.0328062541,22.4332636669
2006-09-12,21.4905816117,,9.33396729156,,19.1670289259,17.4108092162,44.5968068501,248.884066313,22.9443924121,32.77,23.0486810439,29.0528762494,27.8075569518,34.3,,30.2612396035,18.3374144679,22.4270425732
2006-09-13,21.3882455088,,9.53573417367,,19.4023618836,17.5463851896,44.6366752631,264.488912129,23.5189998046,33.53,23.0117322124,29.5921951789,27.8222450761,34.55,,30.3947792257,18.5811010389,22.6696652252
2006-09-14,21.1494612686,,9.53187875554,,19.1039933123,17.5356818233,44.126359576,242.977147276,23.4152512476,33.65,23.0560708102,30.1393303249,27.8163467838,34.49,,30.2438213919,18.4505546616,22.5328011651
2006-09-15,21.0948820138,,9.52288277991,,19.5032188654,17.6534188528,44.166227989,245.357547485,23.1439088678,37.0,23.0930196416,29.8032330209,27.9402109234,35.79,,30.7025009638,18.3417660138,22.7007706934
2006-09-18,21.2722645921,,9.495894853,,19.4359808775,17.4393515264,43.8153859541,251.352629493,23.3514059818,37.51,23.0634605764,30.162778974,28.0817699401,36.29,,30.4992884953,18.5158278502,22.6012331952
2006-09-19,21.4564695774,,9.48047318048,,19.4107666321,17.539249612,43.7197017627,245.269384514,23.2316961083,37.34,22.6200745993,30.0768005939,27.7160758136,36.14,,30.5979916943,18.9596855331,22.7567605362
2006-09-20,22.2410463664,,9.67195894758,,19.4191713806,17.3216144968,43.8393070019,233.191057527,23.4551545388,37.7,22.8565471204,30.2565735704,28.0227870165,36.91,,30.7025009638,19.3654671893,22.7007706934
2006-09-21,22.5685218957,,9.59356544561,,18.5871012803,17.1967418898,43.6240175714,247.473458782,23.2476574248,37.4,22.2579760513,30.6395681726,27.8281433685,36.53,,30.6270220469,18.9990109505,22.5141378842
2006-09-22,22.159177484,,9.38151744849,,18.6711487652,17.0897082265,43.3927807756,238.040020916,23.4152512476,37.06,21.9623853999,30.0768005939,27.6217031358,36.09,,30.5341249185,19.1168004558,22.483032416
2006-09-25,22.4388961653,,9.73493077703,,18.8560532319,17.1075471704,43.9110701454,242.007354598,23.7424582351,38.19,22.2875351165,29.404605986,28.128956279,36.64,,30.7141131049,19.247677684,22.7878660044
2006-09-26,22.4730081996,,9.97396670106,,18.6837558879,17.1503606357,44.4213858326,248.795903343,23.5189998046,37.67,22.1840783885,30.2800222195,28.3589896812,34.75,,30.6502463291,19.7057479824,22.8438558471
2006-09-27,22.01590694,,9.81974997588,,18.7383867531,17.2573942989,43.879175415,256.025266941,23.4312125641,38.06,21.9254365685,29.5062167989,27.9520075081,34.71,,30.9869984198,19.4745315461,22.9807199072
2006-09-28,22.5002978271,,9.89685833847,,18.9106840971,17.2431231438,44.1915682301,253.556703761,25.2188800077,38.33,21.9476058674,29.4358708515,28.0286853088,34.53,,30.9695802082,19.6926602596,22.949614439
2006-09-29,22.3024480281,,9.89300292034,,18.9947315819,17.3251822856,43.8391250541,254.879148322,25.3066672482,37.46,21.7185231125,29.6078276117,27.9225160463,34.78,,30.6502463291,19.1211630301,22.6261175697
2006-10-02,22.0500189743,,9.62055337252,,19.0031363304,17.2110130449,43.3264804344,250.030184933,24.6123499822,37.0,21.6667947485,29.74070329,27.7455672754,33.52,,30.6618584701,19.4658063975,22.8998456899
2006-10-03,21.9954397194,,9.51902736178,,19.0199458274,16.9862423521,44.407840179,235.747783678,24.6841759063,36.89,21.5337789554,28.9278167874,28.1230579867,33.4,,30.5050945658,19.5665818632,23.0553730309
2006-10-04,22.5412322683,,9.6873806201,,19.3393262699,16.8185562797,44.936504943,240.244095184,25.0193635519,37.76,21.8958775034,28.9590816529,28.1348545714,34.12,,30.5863795532,20.2161691722,23.2420058401
2006-10-05,22.4457185722,,9.61669795439,,19.6376948412,16.5367009666,45.4651697071,250.294673845,24.9315763114,38.18,21.8145900742,29.2326492259,28.1348545714,35.16,,30.6444402585,19.8148123392,23.1797949037
2006-10-06,22.7117924398,,9.53830445242,,19.3099096502,16.4796163462,45.0806862423,252.939562966,24.5804273493,38.15,22.2210272199,28.9200005711,27.999193847,35.1,,30.4760642132,19.0993501588,23.1797949037
2006-10-09,22.800483729,,9.59099516686,,19.3309215215,16.6615735737,45.1687970363,248.44325146,25.0991701342,37.39,22.5240076376,30.0924330266,28.0286853088,35.27,,30.638634188,19.3349291694,23.2046792783
2006-10-10,22.7527268809,,9.48561373799,,19.2762906563,16.5010230789,45.6974618004,267.310127192,25.1630154001,37.77,22.2062476873,29.0137951675,27.6924826442,35.69,,30.6444402585,19.5137947145,24.4551191
2006-10-11,22.6367459643,,9.41107565415,,19.3267191472,16.6847642007,45.8416430997,264.753401041,25.7775260838,37.12,22.0510625953,28.6542492145,27.5745167969,34.75,,30.6850827522,19.361104615,24.7537315947
2006-10-12,22.9096422387,,9.67195894758,,19.4023618836,16.6775833252,46.1139855539,273.657861083,25.5758240018,38.21,22.3688225456,28.7011465127,27.6511945976,35.29,,30.6154099059,19.9544147159,25.1332183068
2006-10-13,23.5373036699,,9.64111560254,,19.3939571351,16.849924337,46.6987208232,273.834187024,25.9792281658,39.07,22.5831257679,28.8652870565,27.4211611955,34.89,,30.5283188479,20.2510697663,24.8843745611
