,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
10,2011-11-02 22:04:47,1320242687.0,aa,,,1237.900024,15.32,,50.93,11.23,0.45,0.74,4.31,8.64,3.41,7.22,23.44,11390000000.0,19100000000.0,10.39,0.34,0.78,5.29,0.78,3840000000.0,5.29,1060000000.0,0.95,182.00,21.40,1340000000.0,1.25,9310000000.0,1.36,13.97,11390000000.0,2.01,0.09,59.60,61460000.0,1.50,5.80,63780000.0,underperform
11,2011-11-05 21:29:24,1320499764.0,aa,,,1237.900024,15.32,,50.93,11.47,0.47,0.78,4.31,8.64,3.41,7.22,23.44,11630000000.0,19660000000.0,10.61,0.34,0.80,5.45,0.80,3840000000.0,5.45,1060000000.0,0.95,182.00,21.40,1340000000.0,1.25,9310000000.0,1.36,13.97,11630000000.0,2.01,0.09,59.60,61460000.0,1.50,5.80,63780000.0,underperform
12,2012-01-02 19:42:06,1325504526.0,aa,,,1257.599976,13.52,,50.93,9.08,0.37,0.62,4.31,8.64,3.41,7.22,23.44,9210000000.0,17240000000.0,9.83,0.47,0.70,4.78,0.70,3840000000.0,4.78,1060000000.0,0.95,182.00,21.40,1340000000.0,1.25,9310000000.0,1.36,13.97,2420000000.0,2.10,0.09,59.60,56860000.0,2.00,5.40,66180000.0,underperform
13,2012-05-19 11:51:52,1337399512.0,aa,,,1324.800049,24.58,,55.28,23.10,0.36,0.64,1.59,5.79,2.23,3.00,23.48,8990000000.0,17030000000.0,8.60,1.16,0.68,5.80,0.68,4470000000.0,5.80,398000000.0,0.37,69.50,0.80,1760000000.0,1.65,9740000000.0,1.25,13.21,2190000000.0,1.96,0.06,63.40,72310000.0,2.70,6.80,71660000.0,underperform
14,2013-04-23 20:02:57,1366718577.0,aa,,,1578.780029,18.79,,53.21,36.21,0.37,0.65,1.05,3.06,1.11,1.36,22.03,8670000000.0,16070000000.0,10.40,2.60,0.68,7.39,0.68,3210000000.0,7.39,244000000.0,0.22,58.50,2.90,1560000000.0,1.45,8920000000.0,1.20,12.50,1660000000.0,1.86,0.08,58.10,72710000.0,4.90,6.80,69110000.0,underperform
15,2013-04-26 20:55:15,1366980915.0,aa,,,1582.23999,18.53,,53.21,36.92,0.38,0.67,1.05,3.06,1.11,1.36,22.03,8840000000.0,16400000000.0,10.88,2.87,0.70,7.55,0.70,3210000000.0,7.55,244000000.0,0.22,58.50,2.90,1560000000.0,1.45,8920000000.0,1.20,12.50,1660000000.0,1.86,0.08,58.10,88680000.0,4.50,8.30,72710000.0,underperform
16,2004-06-03 01:20:38,1086196838.0,aapl,1.82,169.78,1116.640015,7.11,162.67,2.921,63.70,1.49,2.33,2.36,2.31,2.54,3.95,19.326,10990000000.0,6070000000.0,37.08,2.89,0.85,21.08,0.85,1710000000.0,21.08,169000000.0,0.454,6.20,8.10,4590000000.0,12.09,2.921,2.921,12.042,361000000.0,1.701,1.06,66.12,11710000.0,1.978,3.12,17190000.0,outperform
17,2004-08-10 02:02:44,1092074564.0,aapl,2.03,174.38,1079.040039,13.91,160.47,2.917,54.40,1.51,2.38,2.76,3.00,3.09,4.78,20.197,11750000000.0,6590000000.0,34.43,2.65,0.86,17.9,0.86,1710000000.0,17.9,211000000.0,0.557,6.20,8.10,4970000000.0,12.8,2.917,2.917,12.493,361000000.0,1.744,1.19,64.33,13030000.0,1.386,3.40,12480000.0,outperform
18,2004-10-12 05:40:57,1097530857.0,aapl,2.46,157.32,1121.839966,4.98,152.34,2.917,69.28,1.98,3.13,2.76,3.00,3.09,4.78,20.197,14970000000.0,10190000000.0,41.05,3.38,1.33,27.68,1.33,1710000000.0,27.68,211000000.0,0.557,6.20,8.10,4970000000.0,12.8,2.917,2.917,12.493,564000000.0,1.802,1.19,67.52,14960000.0,2.196,3.90,12800000.0,outperform
19,2004-12-04 14:16:51,1102141011.0,aapl,4.36,111.01,1191.369995,6.15,104.86,2.632,88.41,3.08,5.03,3.33,3.94,3.86,6.02,21.419,24540000000.0,20060000000.0,37.09,2.21,2.42,61.54,2.42,1710000000.0,61.54,276000000.0,0.709,6.20,8.10,5460000000.0,13.96,2.632,2.632,12.968,564000000.0,1.775,1.26,72.07,19400000.0,1.508,5.02,12350000.0,outperform
