Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP
2010-10-04,22.2794670235,,35.9544172551,,27.814002841,21.0846325145,51.2275526798,243.788117485,38.1329784132,25.6,25.7627456649,26.8519008635,30.8450991403,31.38,,21.1669932461,11.0534233406,27.326986274
2010-10-05,22.5871000447,,37.2834816311,,28.5016619874,21.3135077865,52.4619515395,246.206465846,38.7858521144,25.77,26.5763934494,27.5059965188,31.148009096,32.71,,21.4476442382,10.9444152208,27.4326707513
2010-10-06,22.3341573384,,37.3157404752,,28.3568916408,21.27335423,52.109266151,246.857559635,38.8288043315,25.73,26.2359897844,27.4380385286,31.1110688575,31.44,,21.3664031616,10.9080791809,27.3722796214
2010-10-07,22.6964806745,,37.3196115365,,28.673576774,21.1127400041,52.0299119386,241.834836116,39.3785927115,28.69,26.4933681652,27.8033127258,31.1627851914,31.94,,21.5362708673,11.7946785547,27.2137529054
2010-10-08,23.1066580361,,37.9454331116,,28.6554804807,21.205093184,51.9417405915,247.322626628,39.3270500508,26.99,26.850376887,27.9137444598,31.1036808098,31.43,,21.5510419722,12.1871077857,27.3194373827
2010-10-11,23.0724765893,,38.1118887471,,28.7640582406,21.205093184,52.1798032287,249.461934794,39.1380602952,27.25,26.9749148132,27.6589019967,31.0593525236,31.86,,21.5510419722,12.4341928571,27.3949262951
2010-10-12,23.0246225637,,38.5222212437,,29.0083582005,21.4861680795,52.6294770991,247.415640026,39.2840978337,27.66,27.0330325121,27.7863232282,31.0298003328,32.68,,21.3516320567,12.6158730567,27.0703239719
2010-10-13,23.4553087934,,38.7286778458,,29.288850747,21.5303369916,52.6294770991,250.485082177,39.2583265033,27.71,26.086544273,28.2195554155,31.3696505269,33.46,,21.3442465043,12.3615207773,27.0476772982
2010-10-14,23.4006184785,,39.0086846124,,29.2345618671,21.5424827251,52.6735627726,250.392068779,39.414492222,27.49,26.086544273,28.2705239081,31.3770385746,33.35,,21.2482343228,12.1362373299,27.0174817333
2010-10-15,23.5715257125,,40.6125943399,,29.2164655737,21.5262884138,52.6118428296,250.485082177,39.2930299964,28.08,26.2941074833,28.2620291594,31.7242768164,33.32,,21.3294753995,12.1507717458,27.1307151018
2010-10-18,23.694578921,,41.0332496667,,29.2617063071,21.7287173061,53.2554936637,247.322626628,39.414492222,28.06,26.1944771424,28.5253663713,31.7390529118,33.16,,21.5953552867,12.1362373299,27.42512186
2010-10-19,23.257056402,,39.9351586143,,28.5559508674,21.4048310783,52.3825973271,235.416911619,39.4318439686,27.58,25.9620063468,27.9986919475,31.4730831947,32.77,,21.373788714,11.8382818026,27.5685507935
2010-10-20,23.694578921,,40.0693554057,,28.8092989739,21.2226450752,53.4053849538,236.6260858,39.5272785744,28.21,26.186174614,28.3979451397,31.9828584859,34.01,,21.5510419722,12.0417636261,27.7950175306
2010-10-21,23.7561055252,,39.9390296756,,29.2798026004,21.3926853448,53.2819450678,235.509925018,39.6921201664,27.7,26.0699392162,28.3979451397,32.1897238214,34.22,,21.373788714,12.0272292101,27.8554086605
2010-10-22,23.7561055252,,39.6745071542,,29.0083582005,21.2793251651,53.2378593942,231.696375679,39.5966855605,28.21,26.5763934494,28.4913873762,32.3596489185,34.84,,21.2925476373,12.0562980421,27.7044308358
2010-10-25,23.8586498656,,39.8512856197,,28.9812137605,21.2590822758,53.5376419745,233.184590055,39.5012509546,28.2,26.7922591881,28.6357981053,32.5000218248,35.43,,21.2408487704,12.1507717458,27.5232574461
2010-10-26,23.790286972,,39.7493476724,,29.343139627,21.3319566771,54.0137672489,235.881978612,39.0848090381,28.14,26.5597883925,28.3469766471,32.6477827787,35.63,,21.181764351,12.3615207773,27.6742352708
2010-10-27,23.6467248955,,39.7209598896,,30.0579432134,20.9068560031,53.2995793372,235.97499201,38.9286433195,28.17,27.2239906656,28.2195554155,33.0097971159,35.63,,21.1079088268,12.0490308341,27.8176642043
2010-10-28,23.8723224444,,39.386758265,,30.229858,20.9513903595,52.6294770991,236.998139394,38.9633468125,28.1,27.3402260633,28.4149346372,32.7807676373,35.42,,21.1226799316,11.6566016031,28.0894242888
2010-10-29,23.790286972,,38.8370675619,,29.7050654935,20.777301512,52.3914144618,228.719946927,38.7898293473,28.15,27.9546131659,28.3045029032,32.8694242097,36.1975,,21.4033309237,11.6420671871,28.2630487872
2010-11-01,23.7561055252,,39.2499807661,,29.6688729069,20.485803907,53.1673223165,241.462782522,39.0154020521,28.22,28.0625460353,28.3639661446,33.0393493067,34.91,,21.3073187422,11.3513788678,28.1422665274
2010-11-02,23.9680304954,,39.9183840154,,28.9088285872,20.5991640867,53.4053849538,243.230037094,39.0327537986,29.02,28.519185098,26.4951214151,33.1132297837,35.31,,21.6396686013,11.5621278993,28.4064777207
2010-11-03,24.0022119422,,40.3622657099,,28.6645286273,20.6639413323,53.3789335496,246.485506041,39.3364093627,28.8,28.7765634788,26.3761949323,33.3496473101,35.31,,21.4476442382,11.6057311472,28.3460865908
2010-11-04,24.6038054059,,41.0680892183,,28.9178767339,20.5991640867,54.8954807202,258.019167456,39.6227131803,29.46,29.5819087348,26.8094271196,33.8077062674,35.84,,21.949861803,11.8164801787,28.3762821558
2010-11-05,24.8704206909,,40.9209888893,,28.6645286273,20.6153583981,54.5604296011,263.227917772,39.6227131803,29.14,29.4988834507,26.6310373954,33.8668106489,35.68,,22.0311028797,11.9763587543,28.4593199593
2010-11-08,24.7336949037,,41.1132516,,28.4564212541,20.4250752393,53.8815102283,275.412672977,39.0240779253,29.29,29.4075556381,26.4951214151,33.5934528841,35.41,,21.8169218594,12.0054275862,28.225304331
2010-11-09,24.2551546485,,40.7855017442,,27.895436161,20.2631321254,53.1144195083,264.995172344,39.3017058696,29.49,29.1169671437,26.2062999569,33.4752441209,35.3,,21.8169218594,11.6275327711,28.2023755704
2010-11-10,24.1047562826,,41.037120728,,28.4745175474,20.3117150596,53.8550588241,271.692137037,39.4752233349,29.79,28.8180761208,26.1468367155,33.7707660289,35.86,,21.6987530206,11.5475934833,27.9730879641
2010-11-11,24.4260618825,,40.8596970856,,28.619287894,20.1538205235,53.0438824306,281.272517083,38.382063304,29.94,28.2867143024,26.0618892278,33.8594226012,36.28,,21.6248974964,11.4095165317,27.9272304429
2010-11-12,24.8567481122,,39.7467669649,,28.3387953475,19.6679911819,52.7264655809,270.668989653,37.6185864571,29.54,28.4029497002,25.6796255331,33.5565126456,35.25,,21.6322830488,11.1987675002,27.9119446025
2010-11-15,24.7473674824,,39.6183767655,,28.4202286674,19.4979509123,52.9645282181,267.785574299,38.382063304,29.51,28.2701092456,25.6456465381,33.5491245979,35.12,,21.8538496215,11.1042937964,27.8431583206
2010-11-16,23.9543579167,,38.9157791415,,28.0402065076,19.2955220199,51.9241063221,257.368073667,38.1304629795,29.02,28.0293359216,25.2548880946,32.9728568774,34.52,,21.6396686013,11.1115610044,27.4686552304
2010-11-17,24.0705748358,,38.7751305813,,27.841147281,19.3522021098,52.0122776692,259.786422028,38.2606010784,28.9,28.1621763762,25.2036611411,32.8546481143,35.28,,21.5879697343,11.5185246514,27.3005109858
2010-11-18,24.7678763505,,39.7983811154,,28.537854574,19.2793277085,53.1408709124,272.808297819,38.4601461634,28.68,28.6852356662,25.434182432,33.4456919301,36.26,,21.7356807828,11.8382818026,27.5603702729
2010-11-19,24.9251110058,,39.5790209757,,28.1566236923,19.1902589959,53.2995793372,281.830597474,38.3560356843,28.86,29.2082949562,25.3231906993,33.5343485025,33.77,,21.5510419722,11.8092129707,27.3234397464
2010-11-22,24.8020577973,,40.4345255206,,28.2383160241,19.1295303282,53.0262481611,283.876892241,38.1217871062,29.18,29.8558921724,25.3317285249,33.6747214088,34.81,,21.6618252585,11.9618243383,27.5068698314
2010-11-23,24.2209732017,,39.8370917283,,28.093085212,19.0080729928,51.8183007055,270.20392266,37.9222420212,28.19,29.6483289621,24.8365346407,33.2462146423,34.42,,21.4476442382,12.470528897,27.2699393049
